,Order ID,Order Date,Contact Name,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,License,Product,Sales,Quantity,Discount,Profit,Month_Year,Discount Category,Profit Margin,Sales Percentage,Month,Year,Discount Amount
0,AMER-2020-100090,2020-07-08,Hannah Sanderson,United States,Los Angeles,AMER,NAMER,Verizon Communications,1094,Communications,Strategic,"4BEAB9UXKH, AVBMH39MTD",ContactMatcher,699.192,9,0.2,-19.089,July 2020,Low Discount,-2.73,0.8,July,2020,174.798
1,AMER-2020-100279,2020-03-10,Luke Davidson,Brazil,São Paulo,AMER,LATAM,Ford Motor,1009,Manufacturing,SMB,NI5MITNJ98,Support,22.38,2,0.0,10.7424,March 2020,No Discount,48.0,1.0,March,2020,0.0
2,AMER-2020-100363,2020-04-08,Frank Ball,Chile,Santiago,AMER,LATAM,Carrefour,1048,Retail,Strategic,0O2MCUTMFW,Storage,2.368,2,0.2,0.8288,April 2020,Low Discount,35.0,0.8,April,2020,0.5919999999999996
3,AMER-2020-100363,2020-04-08,Frank Ball,Chile,Santiago,AMER,LATAM,Carrefour,1048,Retail,Strategic,7ZEJI08M1P,Support,19.008,3,0.2,6.8904,April 2020,Low Discount,36.25,0.8,April,2020,4.751999999999999
4,AMER-2020-100762,2020-11-24,Ella Simpson,Brazil,Rio de Janeiro,AMER,LATAM,HonHai Precision Industry,1033,Tech,Strategic,9WNGMUMGIU,ChatBot Plugin,151.92,4,0.0,45.576,November 2020,No Discount,30.0,1.0,November,2020,0.0
5,AMER-2020-100762,2020-11-24,Ella Simpson,Brazil,Rio de Janeiro,AMER,LATAM,HonHai Precision Industry,1033,Tech,Strategic,QLK9TG5206,FinanceHub,196.62,2,0.0,96.3438,November 2020,No Discount,49.0,1.0,November,2020,0.0
6,AMER-2020-100762,2020-11-24,Ella Simpson,Brazil,Rio de Janeiro,AMER,LATAM,HonHai Precision Industry,1033,Tech,Strategic,"V5SQA48WYZ, 5F2LX40BDP",Support,160.08,5,0.0,77.1576,November 2020,No Discount,48.2,1.0,November,2020,0.0
7,AMER-2020-100860,2020-03-26,Faith Campbell,United States,Phoenix,AMER,NAMER,Allstate,1003,Finance,SMB,T3NURF3EZL,FinanceHub,18.75,5,0.0,9.0,March 2020,No Discount,48.0,1.0,March,2020,0.0
8,AMER-2020-100867,2020-10-19,Kevin Rampling,United States,Burlington,AMER,NAMER,Philip Morris International,1075,Consumer Products,Enterprise,VJARLLBJ54,Site Analytics,321.552,6,0.2,20.097,October 2020,Low Discount,6.25,0.8,October,2020,80.38799999999998
9,AMER-2020-101175,2020-12-09,Ella King,Chile,Antofagasta,AMER,LATAM,Aetna,1002,Healthcare,Strategic,UTY4EXSMZS,Marketing Suite - Gold,100.704,6,0.2,-1.2588,December 2020,Low Discount,-1.25,0.8,December,2020,25.175999999999988
10,AMER-2020-101392,2020-12-07,Maria Edmunds,Canada,Toronto,AMER,NAMER,Caterpillar,1016,Manufacturing,Enterprise,OVKZBOWC4D,Marketing Suite - Gold,269.36,7,0.0,70.0336,December 2020,No Discount,26.0,1.0,December,2020,0.0
11,AMER-2020-101462,2020-04-20,Irene Johnston,United States,Raleigh,AMER,NAMER,Walt Disney,1097,Communications,SMB,9A6FU3L3XD,SaaS Connector Pack,59.92,4,0.0,27.5632,April 2020,No Discount,46.0,1.0,April,2020,0.0
12,AMER-2020-101560,2020-11-28,Anthony Mackay,Colombia,Bogotá,AMER,LATAM,Bosch,1076,Tech,Strategic,4HA7Q5Y0UT,ChatBot Plugin,13.12,4,0.0,4.3296,November 2020,No Discount,33.0,1.0,November,2020,0.0
13,AMER-2020-101560,2020-11-28,Anthony Mackay,Colombia,Bogotá,AMER,LATAM,Bosch,1076,Tech,Strategic,EPGMAQJWTL,ContactMatcher,45.66,3,0.0,22.3734,November 2020,No Discount,49.0,1.0,November,2020,0.0
14,AMER-2020-101560,2020-11-28,Anthony Mackay,Colombia,Bogotá,AMER,LATAM,Bosch,1076,Tech,Strategic,J20UASTCMX,SaaS Connector Pack,397.6,5,0.0,43.736,November 2020,No Discount,11.0,1.0,November,2020,0.0
15,AMER-2020-101560,2020-11-28,Anthony Mackay,Colombia,Bogotá,AMER,LATAM,Bosch,1076,Tech,Strategic,AXCMFFG3HI,Support,85.96,7,0.0,40.4012,November 2020,No Discount,47.0,1.0,November,2020,0.0
16,AMER-2020-101931,2020-10-28,Olivia Graham,United States,New York City,AMER,NAMER,Phillips 66,1056,Energy,Strategic,5GXCZUHVYL,ContactMatcher,7.184,2,0.2,2.245,October 2020,Low Discount,31.25,0.8,October,2020,1.7960000000000003
17,AMER-2020-101931,2020-10-28,Olivia Graham,United States,New York City,AMER,NAMER,Phillips 66,1056,Energy,Strategic,79AH0U3KCB,Marketing Suite,616.998,6,0.15,-36.294,October 2020,Low Discount,-5.88,0.85,October,2020,108.88200000000006
18,AMER-2020-101931,2020-10-28,Olivia Graham,United States,New York City,AMER,NAMER,Phillips 66,1056,Energy,Strategic,G24RUR3MGB,Marketing Suite - Gold,141.4,5,0.0,38.178,October 2020,No Discount,27.0,1.0,October,2020,0.0
